#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-03-31T19:04:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5abfdb1b1d11f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=Age
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
_Glon	_Glat	Cluster	RAJ2000	DEJ2000	Dist	Age
deg	deg	 	"h:m:s"	"d:m:s"	pc	[yr]
-------	-------	-----------------	--------	---------	-----	------
116.753	 -1.289	Berkeley 58      	00 00 12	+60 58 00	 2700	 8.470
114.729	-11.315	NGC 7801         	00 00 21	+50 44 30	 1275	 9.230
116.468	 -2.994	FSR 0459         	00 00 39	+59 14 20	 3800	 8.950
117.625	 +2.268	Stock 18         	00 01 37	+64 37 30	 1242	 8.100
118.221	 +4.996	Berkeley 59      	00 02 14	+67 25 00	 1000	 6.100
117.630	 +1.206	Berkeley 104     	00 03 30	+63 35 00	 4365	 8.890
015.572	-79.261	Blanco 1         	00 04 07	-29 50 00	  269	 7.796
116.403	 -6.195	Stock 19         	00 04 41	+56 05 00	     	
061.875	-77.653	NGC 7826         	00 05 17	-20 41 30	  620	 9.340
118.290	 +2.499	Majaess 1        	00 07 22	+64 58 22	     	
117.726	 -0.953	Czernik 1        	00 07 38	+61 28 30	 2530	 6.700
116.165	-10.584	SAI 1            	00 08 20	+51 43 15	 2170	 9.100
117.796	 -1.979	Berkeley 1       	00 09 36	+60 28 30	 2420	 8.600
118.152	 +0.197	ASCC 1           	00 09 36	+62 40 48	 4000	 8.250
117.967	 -1.306	King 13          	00 10 06	+61 10 00	 3100	 8.500
117.642	 -3.691	Alessi 20        	00 10 34	+58 45 36	  600	 6.480
117.838	 -2.723	FSR 0474         	00 10 53	+59 44 50	 4638	 8.900
118.585	 -1.090	FSR 0480         	00 14 55	+61 28 23	 5492	 9.300
118.547	 -2.611	Juchert Saloran 1	00 16 20	+59 57 43	 3859	 9.050
119.205	 +1.886	Majaess 8        	00 16 43	+64 30 21	     	
118.844	 -1.670	Berkeley 60      	00 17 42	+60 56 00	 4365	 8.200
118.463	 -6.888	ASCC 2           	00 19 52	+55 42 36	 1200	 8.830
118.968	 -3.314	FSR 0486         	00 20 21	+59 19 05	 1850	 8.900
119.548	 +0.651	Majaess 9        	00 21 13	+63 19 28	     	
119.444	 -0.922	Mayer 1          	00 21 54	+61 45 00	 1430	 7.740
119.763	 +1.690	King 1           	00 22 04	+64 22 50	 1080	 9.600
119.754	 +0.004	SAI 4            	00 23 40	+62 42 14	 1600	 8.700
119.926	 -0.102	Stock 20         	00 25 15	+62 37 00	 1100	 8.337
119.797	 -1.389	NGC 103          	00 25 16	+61 19 24	 3026	 8.126
119.707	 -2.308	Berkeley 2       	00 25 18	+60 24 00	 5250	 8.900
120.073	 +1.030	FSR 0494         	00 25 32	+63 45 28	 5087	 9.300
120.257	 +1.289	FSR 0496         	00 26 58	+64 02 00	 1123	 9.055
120.996	 +8.602	NGC 110          	00 27 25	+71 23 00	 1290	 9.000
120.051	 -2.051	SAI 6            	00 27 53	+60 41 21	 2700	 8.500
120.363	 -0.345	FSR 0498         	00 29 13	+62 24 57	 1800	 8.550
120.270	 -2.543	NGC 129          	00 30 00	+60 13 06	 1625	 7.886
120.134	 -4.834	Stock 21         	00 30 25	+57 55 25	 1700	 8.825
120.021	 -7.477	ASCC 3           	00 31 09	+55 16 48	 1700	 7.900
120.678	 +0.566	NGC 133          	00 31 19	+63 21 00	  630	 7.000
120.562	 -1.272	NGC 136          	00 31 33	+61 30 30	 5220	 8.400
120.745	 +0.366	King 14          	00 32 03	+63 09 20	 2960	 7.900
120.748	 -0.926	King 15          	00 32 54	+61 52 00	 3162	 8.400
120.861	 +0.537	NGC 146          	00 32 58	+63 20 03	 3470	 7.110
121.010	 +2.313	Patchick 78      	00 33 10	+65 07 00	 1507	 9.250
121.499	 -1.744	NGC 189          	00 39 35	+61 05 42	  752	 7.000
121.552	 -0.890	Stock 24         	00 39 42	+61 57 00	 2818	 8.080
121.580	 -1.244	FSR 0505         	00 40 04	+61 35 52	     	
121.930	 +2.128	FSR 0508         	00 41 58	+64 58 52	 5501	 9.180
121.964	 +1.213	Dias 1           	00 42 35	+64 04 05	 1690	 7.100
122.011	 -1.083	NGC 225          	00 43 39	+61 46 30	  657	 8.114
121.968	 -2.707	Czernik 2        	00 43 42	+60 09 00	 1775	 8.000
122.095	 +1.326	King 16          	00 43 45	+64 11 08	 1920	 7.000
122.238	 +1.522	Berkeley 4       	00 45 01	+64 23 05	 2460	 7.100
122.843	+22.384	NGC 188          	00 47 28	+85 15 18	 1714	 9.880
122.646	 +4.330	Berkeley 61      	00 48 30	+67 12 00	 3798	 8.250
122.742	 +1.255	Dolidze 13       	00 49 42	+64 07 35	 2400	 8.962
122.863	 +3.097	FSR 0516         	00 50 46	+65 58 06	  810	 8.830
122.874	 -4.688	King 2           	00 51 00	+58 11 00	 5750	 9.780
123.046	 +1.780	FSR 0519         	00 52 30	+64 39 05	 1450	 9.220
123.123	 -6.243	IC 1590          	00 52 49	+56 37 42	 2940	 6.540
